"Product Code","Product Name",Variant,Expected,Counted
1014,ស្រាកូរ៉េ,,0.0000,
1046,"ឃីមដឹម ដបតូច",,0.0000,
1096,"ឃឺមដឹម ដបតូច",,0.0000,
1229,"សាំងមីហ្គែល តូច",,0.0000,
1322,ឆ្មាខ្មៅ,,0.0000,
1434,"គីនេស ដបធំ",,0.0000,
1624,ិិគីនេស,,0.0000,
1702,បៀយាអាឡីម៉ង់,,0.0000,
1703,សាប៉ូរ៉ូ,,0.0000,
1775,"បាឡង់ ដបតូច",,0.0000,
1902,ក្រោន,,0.0000,
2041,"ហិននីកិន ដបធំ",,0.0000,
2077,ហូលកាឌិន,,0.0000,
2082,កូរូណា,,0.0000,
2083,"សឹង ដបធំ",,0.0000,
2094,"លីអូបៀ ដបធំ",,0.0000,
2108,"អាំងឆ៍រ សាំងហ្គាពួរ",,0.0000,
2134,ម៉ាស្ទើបៀ,,0.0000,
2138,"គីនេស ដបធំ",,0.0000,
2170,"បៀយាឆាង ដបតូច",,0.0000,
2199,បៀយាកៃសឺដុម,,0.0000,
2222,គីរីន,,0.0000,
2321,"អាំងឆ៍រ តូច",,0.0000,
2357,"អាបេសេ តូច",,0.0000,
2359,អាសាហីុ,,0.0000,
2364,"អុកធីងកឺបៀ តូច",,0.0000,
2387,"បៀយា ដបតូច",,0.0000,
2388,"បៀយា អេនឌីងជើ",,0.0000,
2408,ជីនរ៉ូ,,0.0000,
2415,បាលីប្លែក,,0.0000,
2425,"អេឌីងជើ ដបធំ",,0.0000,
2434,"បៀយា អេចបី",,0.0000,
2437,អេសេ្ដឡា,,0.0000,
2470,"ឆាង ដបធំ",,0.0000,
2552,កាស់ស្បែ,,0.0000,
404,ក្រោន,,240.0000,
406,"អង្គរ ស",,0.0000,
407,អង្គរខ្មៅ,,2400.0000,
408,"អង្គរ ដបធំ",,0.0000,
409,ហិននីកិន,,0.0000,
411,"ថាយកឺ តូច",,0.0000,
413,"ថាយកឺ ដបធំ",,0.0000,
414,បាត់វ៉ាយស៍រ,,0.0000,
415,"ឃឹមដឹមស ដបតូច",,0.0000,
416,"ឃឹមដឹមខ្មៅ ដបតូច",,0.0000,
417,"ភ្នំពេញ ដបតូច",,0.0000,
418,"ភ្នំពេញ ដបធំ",,0.0000,
419,"ខេមបូឌា តូច",,0.0000,
421,អាំងឆ៍រ,,0.0000,
422,គីនេស,,0.0000,
452,ស្រាជីវ៉ាក់១៨ឆ្នាំ០.៧៥,,0.0000,
953,សាំងមីហ្គែលដបធំ,,0.0000,
963,លីអូបៀ,,0.0000,
978,"សឹង្ហ ដបតូច",,0.0000,
979,"សឹង្ហ តូច",,0.0000,
989,"ភ្នំពេញ កំប៉ុង",,0.0000,
