Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
Melona Banana,880-1104-900072,code128,,KRI,DM,,,0.80,0.94,20,,,,,,,,,,,
Melona Strawberry,880-1104-900034,code129,,KRI,DM,,,0.80,0.94,20,,,,,,,,,,,
Melona Mango,880-1104-900058,code130,,KRI,DM,,,0.80,0.94,20,,,,,,,,,,,
Melona Melon,880-1104-122504,code131,,KRI,DM,,,0.75,0.88,20,,,,,,,,,,,
Meta Cone Chocolate,880-1104-131438,code132,,KRI,DM,,,1.28,1.50,20,,,,,,,,,,,
Meta Cone Strawberry,880-1104-131421,code133,,KRI,DM,,,1.28,1.50,20,,,,,,,,,,,
Pangtoa ,880-1104-190947,code134,,KRI,DM,,,1.22,1.44,20,,,,,,,,,,,
Pangtoa Choco Chiffon ,880-1104-900508,code135,,KRI,DM,,,1.33,1.57,20,,,,,,,,,,,
Pongta Soda,769828-111014,code136,,KRI,DM,,,0.77,0.90,20,,,,,,,,,,,
Pongta Banana,769828-111311,code137,,KRI,DM,,,0.77,0.90,20,,,,,,,,,,,
Pongta Waterlemon,880-1104-900010,code138,,KRI,DM,,,0.77,0.90,20,,,,,,,,,,,
Samanco Ice Sandwich,880-1104-190718,code139,,KRI,DM,,,1.02,1.20,20,,,,,,,,,,,
Samanco Strawberry,880-1104-180115,code140,,KRI,DM,,,1.28,1.50,20,,,,,,,,,,,
Samanco Chocolate,880-1104-170116,code141,,KRI,DM,,,1.28,1.50,20,,,,,,,,,,,
Samanco Sweet Potato,880-1104-301589,code142,,KRI,DM,,,1.28,1.50,20,,,,,,,,,,,
Shooting Star,880-1104-131100,code143,,KRI,DM,,,1.36,1.60,20,,,,,,,,,,,
Yomoite Strawberry Cone,880-1104-302593,code144,,KRI,DM,,,1.28,1.50,20,,,,,,,,,,,
Yomoite Plain Cone,880-1104-301435,code145,,KRI,DM,,,1.28,1.50,20,,,,,,,,,,,
Yomoite Strawberry Bar,880-1104-123204,code146,,KRI,DM,,,0.72,0.85,20,,,,,,,,,,,
Yomoite Peach Bar,880-1104-123389,code147,,KRI,DM,,,0.72,0.85,20,,,,,,,,,,,
Yomoite Plain Bar,880-1104-123839,code148,,KRI,DM,,,0.72,0.85,20,,,,,,,,,,,
Encho Bar,880-1104-122528,code149,,KRI,DM,,,0.72,0.85,20,,,,,,,,,,,
Encho Strawberry,880-1104-301732,code150,,KRI,DM,,,0.72,0.85,20,,,,,,,,,,,
Café Aulait,880-1104-123167,code151,,KRI,DM,,,0.72,0.85,20,,,,,,,,,,,
Cookie & Cream Bar,880-1104-123198,code152,,KRI,DM,,,0.82,0.97,20,,,,,,,,,,,
Summer Hunter,8801104 - 111553,code153,,KRI,DM,,,0.82,0.97,20,,,,,,,,,,,
Together Strawberry,8801104 - 142380,code154,,KRI,DM,,,4.68,5.50,20,,,,,,,,,,,
Together Banana,8801104 - 300643,code155,,KRI,DM,,,4.68,5.50,20,,,,,,,,,,,
Signature Vanilla,880-1104-302364,code156,,KRI,DM,,,1.53,1.80,20,,,,,,,,,,,
Signature Caramel,880-1104-302999,code157,,KRI,DM,,,1.53,1.80,20,,,,,,,,,,,
Signature Green Tea,880-1104-303019,code158,,KRI,DM,,,1.53,1.80,20,,,,,,,,,,,
