880-1104-900072,Melona Banana
880-1104-900034,Melona Strawberry
880-1104-900058,Melona Mango
880-1104-122504,Melona Melon
880-1104-131438,Meta Cone Chocolate
880-1104-131421,Meta Cone Strawberry
880-1104-190947,Pangtoa 
880-1104-900508,Pangtoa Choco Chiffon 
769828-111014,Pongta Soda
769828-111311,Pongta Banana
880-1104-900010,Pongta Waterlemon
880-1104-190718,Samanco Ice Sandwich
880-1104-180115,Samanco Strawberry
880-1104-170116,Samanco Chocolate
880-1104-301589,Samanco Sweet Potato
880-1104-131100,Shooting Star
880-1104-302593,Yomoite Strawberry Cone
880-1104-301435,Yomoite Plain Cone
880-1104-123204,Yomoite Strawberry Bar
880-1104-123389,Yomoite Peach Bar
880-1104-123839,Yomoite Plain Bar
880-1104-122528,Encho Bar
880-1104-301732,Encho Strawberry
880-1104-123167,Café Aulait
880-1104-123198,Cookie & Cream Bar
8801104 - 111553,Summer Hunter
8801104 - 142380,Together Strawberry
8801104 - 300643,Together Banana
880-1104-302364,Signature Vanilla
880-1104-302999,Signature Caramel
880-1104-303019,Signature Green Tea
