Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Location
testtttt,4543,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
eersd,5454,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
retr,445,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
gfgdf,5454,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
4ttr,454,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
ff,8785,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
bb,566566,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
ffddf,7676,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
bc,87,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
ffbv,6977,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
vbcb,99777,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
cvb,776,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
vbhh,7676,code128,,មួក,unit,,,5,8,20,,,no_image.png,,,,,,,,,Location A
