Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
????????? ???,ISK10001,code128,Guess,MSL,Bav,Bav,Bav," 27,000.00 "," 33,000.00 ",5,,,,,,,,,,,
??????????? ???,ISK10002,,,MSL,Bav,Bav,Bav," 33,000.00 "," 40,000.00 ",5,,,,,,,,,,,
????????????? ??? 9??,ISK10003,,,MSL,sl,sl,sl," 20,000.00 "," 26,000.00 ",20,,,,,,,,,,,
????????????? GM,ISK10004,,,MSL,sl,sl,sl," 18,000.00 "," 24,000.00 ",20,,,,,,,,,,,
????????????? ????? 8??,ISK10005,,,MSL,sl,sl,sl," 19,000.00 "," 25,000.00 ",20,,,,,,,,,,,
E0.25,ISK10006,,,MSL,bach,bach,bach," 40,000.00 "," 48,000.00 ",10,,,,,,,,,,,
???????,ISK10007,,,MSL,KG,KG,KG," 7,500.00 "," 10,000.00 ",20,,,,,,,,,,,
????????????,ISK10008,,,MSL,Thorng,Thorng,Thorng," 3,700.00 "," 5,000.00 ",15,,,,,,,,,,,
V3 ?????? I,ISK10009,,,IronV,Derm,Derm,Derm," 13,200.00 "," 18,000.00 ",20,,,,,,,,,,,
V3 ?????? II,ISK10010,,,IronV,Derm,Derm,Derm," 18,380.96 "," 25,000.00 ",20,,,,,,,,,,,
V4 ????? I,ISK10011,,,IronV,Derm,Derm,Derm," 18,852.27 "," 25,000.00 ",20,,,,,,,,,,,
V4 ???????????? IV,ISK10012,,,IronV,Derm,Derm,Derm," 29,456.67 "," 38,000.00 ",20,,,,,,,,,,,
V4 ????????????????? V,ISK10013,,,IronV,Derm,Derm,Derm," 32,520.16 "," 43,000.00 ",20,,,,,,,,,,,
V5 ????? I,ISK10014,,,IronV,Derm,Derm,Derm," 31,931.03 "," 43,000.00 ",20,,,,,,,,,,,
V5 ?????? II,ISK10015,,,IronV,Derm,Derm,Derm," 37,704.54 "," 48,000.00 ",20,,,,,,,,,,,
V5 ????????????????? V,ISK10016,,,IronV,Derm,Derm,Derm," 41,239.34 "," 55,000.00 ",20,,,,,,,,,,,
V6 ?????? (22kg) PP,ISK10017,,,IronV,Derm,Derm,Derm," 53,634.70 "," 80,000.00 ",5,,,,,,,,,,,
V6 ???????????? (32kg) VN,ISK10018,,,IronV,Derm,Derm,Derm," 75,409.07 "," 100,000.00 ",5,,,,,,,,,,,
V75 ,ISK10019,,,IronV,Derm,Derm,Derm," 102,705.00 "," 125,000.00 ",5,,,,,,,,,,,
V75 ??????,ISK10020,,,IronV,Derm,Derm,Derm," 140,056.00 "," 170,000.00 ",5,,,,,,,,,,,
?????? 21 1.1??,ISK10021,,,IronQ,Derm,Derm,Derm," 7,175.00 "," 11,000.00 ",10,,,,,,,,,,,
?????? 21 1.4??,ISK10022,,,IronQ,Derm,Derm,Derm," 10,045.00 "," 14,000.00 ",10,,,,,,,,,,,
?????? 21 2??,ISK10023,,,IronQ,Derm,Derm,Derm," 14,350.00 "," 18,000.00 ",10,,,,,,,,,,,
?????? 27 1.3??,ISK10024,,,IronQ,Derm,Derm,Derm," 10,250.00 "," 15,000.00 ",10,,,,,,,,,,,
?????? 27 1.5??,ISK10025,,,IronQ,Derm,Derm,Derm," 13,161.00 "," 20,000.00 ",10,,,,,,,,,,,
?????? 27 2??,ISK10026,,,IronQ,Derm,Derm,Derm," 18,450.00 "," 24,000.00 ",10,,,,,,,,,,,
?????? 34  1.3??,ISK10027,,,IronQ,Derm,Derm,Derm," 11,685.00 "," 20,000.00 ",10,,,,,,,,,,,
?????? 34 1.5??,ISK10028,,,IronQ,Derm,Derm,Derm," 16,769.00 "," 26,000.00 ",10,,,,,,,,,,,
?????? 34 2??,ISK10029,,,IronQ,Derm,Derm,Derm," 23,985.00 "," 30,000.00 ",10,,,,,,,,,,,
??????  42 1.3??,ISK10030,,,IronQ,Derm,Derm,Derm," 16,892.00 "," 26,000.00 ",10,,,,,,,,,,,
?????? 42 1.5??,ISK10031,,,IronQ,Derm,Derm,Derm," 21,730.00 "," 30,000.00 ",10,,,,,,,,,,,
?????? 42 2??,ISK10032,,,IronQ,Derm,Derm,Derm," 28,905.00 "," 40,000.00 ",10,,,,,,,,,,,
?????? 49 1.5??,ISK10033,,,IronQ,Derm,Derm,Derm," 19,680.00 "," 40,000.00 ",10,,,,,,,,,,,
?????? 49 2??,ISK10034,,,IronQ,Derm,Derm,Derm," 32,144.00 "," 45,000.00 ",10,,,,,,,,,,,
?????? 60 1.5??,ISK10035,,,IronQ,Derm,Derm,Derm," 25,010.00 "," 50,000.00 ",2,,,,,,,,,,,
?????? 60 2??,ISK10036,,,IronQ,Derm,Derm,Derm," 34,850.00 "," 60,000.00 ",2,,,,,,,,,,,
?????? 75 1.4?? ?,ISK10037,,,IronQ,Derm,Derm,Derm," 31,570.00 "," 60,000.00 ",2,,,,,,,,,,,
?????? 90 1.5??,ISK10038,,,IronQ,Derm,Derm,Derm," 42,230.00 "," 65,000.00 ",2,,,,,,,,,,,
??? U 40,ISK10039,,,IronQ,Derm,Derm,Derm," 48,000.00 "," 58,000.00 ",10,,,,,,,,,,,
??? U 50,ISK10040,,,IronU,Derm,Derm,Derm," 31,816.00 "," 50,000.00 ",10,,,,,,,,,,,
??? U 60,ISK10041,,,IronU,Derm,Derm,Derm," 37,802.00 "," 60,000.00 ",10,,,,,,,,,,,
??? U 80,ISK10042,,,IronU,Derm,Derm,Derm," 46,945.00 "," 75,000.00 ",10,,,,,,,,,,,
??? U 80 ??????,ISK10043,,,IronU,Derm,Derm,Derm," 67,650.00 "," 115,000.00 ",10,,,,,,,,,,,
??? U 100,ISK10044,,,IronU,Derm,Derm,Derm," 71,586.00 "," 110,000.00 ",10,,,,,,,,,,,
??? U 100 ??????,ISK10045,,,IronU,Derm,Derm,Derm," 103,402.00 "," 150,000.00 ",10,,,,,,,,,,,
??? U 120,ISK10046,,,IronU,Derm,Derm,Derm," 93,439.00 "," 160,000.00 ",5,,,,,,,,,,,
??? U 140,ISK10047,,,IronU,Derm,Derm,Derm," 114,800.00 "," 200,000.00 ",5,,,,,,,,,,,
?????? 15?? 8M,ISK10048,,,IronL,Derm,Derm,Derm," 29,028.00 "," 35,000.00 ",10,,,,,,,,,,,
?????? 17?? 8M,ISK10049,,,IronL,Derm,Derm,Derm," 34,850.00 "," 42,000.00 ",10,,,,,,,,,,,
?????? 20??,ISK10050,,,IronL,Derm,Derm,Derm," 31,365.00 "," 55,000.00 ",5,,,,,,,,,,,
?????? 25??,ISK10051,,,IronL,Derm,Derm,Derm," 47,970.00 "," 70,000.00 ",5,,,,,,,,,,,
????????? 1M  1.5??,ISK10052,,,IronPlate,sl,sl,sl," 59,060.50 "," 80,000.00 ",5,,,,,,,,,,,
????????? 1M  2??,ISK10053,,,IronPlate,sl,sl,sl," 76,916.00 "," 100,000.00 ",5,,,,,,,,,,,
????????? 1.25? 1.2??,ISK10054,,,IronPlate,sl,sl,sl," 109,880.00 "," 100,000.00 ",5,,,,,,,,,,,
????????? 1.25? 2.?? ? PP,ISK10055,,,IronPlate,sl,sl,sl," 134,603.00 "," 180,000.00 ",5,,,,,,,,,,,
????????? 1.25? 1.5??,ISK10056,,,IronPlate,sl,sl,sl," 93,398.00 "," 120,000.00 ",5,,,,,,,,,,,
????????? 1.25? 2??,ISK10057,,,IronPlate,sl,sl,sl," 120,868.00 "," 150,000.00 ",5,,,,,,,,,,,
????????? 1.25? 2.5??,ISK10058,,,IronPlate,sl,sl,sl," 164,820.00 "," 220,000.00 ",5,,,,,,,,,,,
????????? 1.25? 3??,ISK10059,,,IronPlate,sl,sl,sl," 188,169.50 "," 250,000.00 ",5,,,,,,,,,,,
??????? 25*40,ISK10060,,,IronRN,Derm,Derm,Derm," 8,610.00 "," 12,000.00 ",20,,,,,,,,,,,
??????? 25*60,ISK10061,,,IronRN,Derm,Derm,Derm," 17,015.00 "," 20,000.00 ",20,,,,,,,,,,,
??????? 20*40,ISK10062,,,IronRN,Derm,Derm,Derm," 5,330.00 "," 8,000.00 ",20,,,,,,,,,,,
??????? 20*60,ISK10063,,,IronRN,Derm,Derm,Derm," 9,594.00 "," 16,000.00 ",20,,,,,,,,,,,
??????? 30*60 3M Teak,ISK10064,,,IronRN,Derm,Derm,Derm," 12,300.00 "," 15,000.00 ",10,,,,,,,,,,,
??????? 30*60 6M,ISK10065,,,IronRN,Derm,Derm,Derm," 17,220.00 "," 25,000.00 ",10,,,,,,,,,,,
??????? 30*10 3M Teak,ISK10066,,,IronRN,Derm,Derm,Derm," 15,375.00 "," 18,500.00 ",10,,,,,,,,,,,
??????? 40*4 3M,ISK10067,,,IronRN,Derm,Derm,Derm," 12,628.00 "," 15,000.00 ",10,,,,,,,,,,,
